route,carrier_name,window,flights,exp_delay,delayed
LGA-ORD,Republic Airways,evening,421,26.516746411483254,0.35167464114832536
LGA-ORD,United Airlines,morning,1855,13.377633711507293,0.157752566180443
LGA-ORD,United Airlines,afternoon,1231,33.11400651465798,0.3794788273615635
LGA-ORD,United Airlines,evening,1405,43.69521770164168,0.476802284082798
LIH-HNL,Alaska Airlines,morning,565,8.630550621669627,0.15985790408525755
LIH-HNL,Alaska Airlines,afternoon,492,22.76219512195122,0.3861788617886179
LIH-HNL,Alaska Airlines,evening,369,17.723577235772357,0.3089430894308943
LIH-HNL,Hawaiian Airlines,morning,1820,4.97967032967033,0.09945054945054944
LIH-HNL,Hawaiian Airlines,afternoon,1607,10.209707529558184,0.20348475420037337
LIH-HNL,Hawaiian Airlines,evening,1170,6.821367521367521,0.13504273504273503
LIH-HNL,Southwest Airlines,morning,888,3.6655405405405403,0.037162162162162164
LIH-HNL,Southwest Airlines,afternoon,520,3.669230769230769,0.05384615384615385
LIH-HNL,Southwest Airlines,evening,360,3.5416666666666665,0.05
MCO-ATL,Delta Air Lines,morning,2418,10.855665839536806,0.12241521918941274
MCO-ATL,Delta Air Lines,afternoon,1797,26.605366126327556,0.28619340413638905
MCO-ATL,Delta Air Lines,evening,1111,37.59747292418773,0.40794223826714804
MCO-ATL,Frontier Airlines,morning,388,12.204134366925064,0.21705426356589147
MCO-ATL,Frontier Airlines,afternoon,276,33.93840579710145,0.34782608695652173
MCO-ATL,Frontier Airlines,evening,419,42.04057279236277,0.45346062052505964
MCO-ATL,Southwest Airlines,morning,366,6.983606557377049,0.1092896174863388
MCO-ATL,Southwest Airlines,afternoon,354,18.06534090909091,0.2897727272727273
MCO-ATL,Southwest Airlines,evening,369,29.682926829268293,0.4173441734417344
MCO-ATL,Spirit Airlines,evening,325,29.546296296296298,0.404320987654321
OGG-HNL,Alaska Airlines,morning,868,10.336805555555555,0.17939814814814814
OGG-HNL,Alaska Airlines,afternoon,519,21.815028901734102,0.4296724470134875
OGG-HNL,Alaska Airlines,evening,396,19.02020202020202,0.3409090909090909
OGG-HNL,Hawaiian Airlines,morning,2615,4.493690248565966,0.08221797323135756
OGG-HNL,Hawaiian Airlines,afternoon,1683,9.194295900178252,0.18538324420677363
OGG-HNL,Hawaiian Airlines,evening,1337,8.510097232610322,0.17576664173522813
OGG-HNL,Southwest Airlines,morning,1361,2.7729610580455546,0.0426157237325496
OGG-HNL,Southwest Airlines,afternoon,767,4.422425032594524,0.08213820078226858
OGG-HNL,Southwest Airlines,evening,733,3.7926330150068215,0.06412005457025921
ORD-LGA,American Airlines,morning,1262,19.56653386454183,0.24223107569721117
ORD-LGA,American Airlines,afternoon,709,40.69614835948645,0.4607703281027104
ORD-LGA,American Airlines,evening,830,38.23300970873787,0.4223300970873786
ORD-LGA,Delta Air Lines,morning,1010,17.862549800796813,0.19820717131474103
ORD-LGA,Delta Air Lines,afternoon,447,43.01590909090909,0.3840909090909091
ORD-LGA,Delta Air Lines,evening,675,50.241379310344826,0.43928035982008995
ORD-LGA,Republic Airways,morning,595,16.499156829679595,0.24283305227655985
ORD-LGA,Republic Airways,afternoon,386,23.8419689119171,0.31865284974093266
ORD-LGA,Republic Airways,evening,247,23.215447154471544,0.2967479674796748
ORD-LGA,Spirit Airlines,morning,209,11.757281553398059,0.1553398058252427
ORD-LGA,United Airlines,morning,1845,11.452717391304347,0.16304347826086957
ORD-LGA,United Airlines,afternoon,1465,34.077716643741404,0.3700137551581843
ORD-LGA,United Airlines,evening,1195,39.99916177703269,0.4585079631181894
PHX-DEN,American Airlines,morning,373,12.58176943699732,0.20107238605898123
PHX-DEN,American Airlines,afternoon,304,22.488448844884488,0.28052805280528054
PHX-DEN,American Airlines,evening,296,20.81756756756757,0.33783783783783783
PHX-DEN,Frontier Airlines,morning,656,11.487022900763359,0.1633587786259542
PHX-DEN,Frontier Airlines,afternoon,311,23.3,0.25806451612903225
PHX-DEN,Frontier Airlines,evening,418,26.33732057416268,0.29904306220095694
PHX-DEN,Southwest Airlines,morning,1775,9.258046301524562,0.15697346132128742
PHX-DEN,Southwest Airlines,afternoon,1238,29.57479674796748,0.4195121951219512
PHX-DEN,Southwest Airlines,evening,894,22.91479820627803,0.37331838565022424
PHX-DEN,United Airlines,morning,937,9.4796573875803,0.11670235546038545
PHX-DEN,United Airlines,afternoon,1018,20.49802761341223,0.2593688362919132
PHX-DEN,United Airlines,evening,425,17.58254716981132,0.23113207547169812
PHX-LAX,American Airlines,morning,1023,7.332681017612525,0.12035225048923678
PHX-LAX,American Airlines,afternoon,367,15.743169398907105,0.20491803278688525
PHX-LAX,American Airlines,evening,612,18.27124183006536,0.29411764705882354
PHX-LAX,Frontier Airlines,morning,203,6.45320197044335,0.07881773399014778
PHX-LAX,SkyWest Airlines,morning,1185,5.382601351351352,0.07939189189189189
PHX-LAX,SkyWest Airlines,afternoon,745,8.519463087248322,0.11275167785234899
PHX-LAX,SkyWest Airlines,evening,566,9.0,0.10247349823321555
PHX-LAX,Southwest Airlines,morning,741,5.241565452091768,0.09446693657219973
PHX-LAX,Southwest Airlines,afternoon,559,15.289803220035779,0.27191413237924866
PHX-LAX,Southwest Airlines,evening,748,19.58957219251337,0.3783422459893048
SFO-LAX,American Airlines,morning,325,15.587692307692308,0.12615384615384614
SFO-LAX,Delta Air Lines,morning,1035,10.516908212560386,0.13526570048309178
SFO-LAX,Delta Air Lines,afternoon,708,20.19094766619519,0.3055162659123055
SFO-LAX,Delta Air Lines,evening,603,11.805970149253731,0.19237147595356552
SFO-LAX,SkyWest Airlines,morning,1444,8.742896742896743,0.14760914760914762
SFO-LAX,SkyWest Airlines,afternoon,682,13.058651026392962,0.218475073313783
SFO-LAX,SkyWest Airlines,evening,568,15.830985915492958,0.2640845070422535
SFO-LAX,Southwest Airlines,morning,457,7.021881838074398,0.12691466083150985
SFO-LAX,Southwest Airlines,afternoon,413,21.753026634382568,0.36561743341404357
SFO-LAX,Southwest Airlines,evening,465,30.236559139784948,0.45806451612903226
SFO-LAX,United Airlines,morning,1330,7.201503759398496,0.13458646616541353
SFO-LAX,United Airlines,afternoon,750,12.068,0.20533333333333334
SFO-LAX,United Airlines,evening,1164,12.54639175257732,0.23367697594501718
SLC-DEN,Delta Air Lines,morning,709,9.995756718528996,0.18104667609618105
SLC-DEN,Delta Air Lines,afternoon,356,12.675141242937853,0.20903954802259886
SLC-DEN,Delta Air Lines,evening,618,27.118314424635333,0.3549432739059968
SLC-DEN,Frontier Airlines,morning,448,17.369127516778523,0.23042505592841164
SLC-DEN,Frontier Airlines,afternoon,218,27.755760368663594,0.3271889400921659
SLC-DEN,Frontier Airlines,evening,314,22.12420382165605,0.2484076433121019
SLC-DEN,SkyWest Airlines,morning,718,15.429567642956764,0.14644351464435146
SLC-DEN,SkyWest Airlines,afternoon,474,13.063424947145878,0.17970401691331925
SLC-DEN,Southwest Airlines,morning,1089,8.072677092916283,0.15823367065317387
SLC-DEN,Southwest Airlines,afternoon,802,24.43789209535759,0.3739021329987453
SLC-DEN,Southwest Airlines,evening,474,27.867088607594937,0.4177215189873418
SLC-DEN,United Airlines,morning,655,9.844036697247706,0.20030581039755352
SLC-DEN,United Airlines,afternoon,388,24.424479166666668,0.3151041666666667
SLC-DEN,United Airlines,evening,278,28.96727272727273,0.3381818181818182
