route,flights,delayed,severity,cancelled,cascade,distance,z_delayed,z_severity,z_cancelled,z_cascade,score,origin,dest,origin_lat,origin_lon,dest_lat,dest_lon
SEA-HNL,2942,0.3506717189114709,25.183258697898726,0.008837525492861998,10.895874263261296,2677.0,2.1925895328321166,1.2197632034700208,-0.7411860685087555,-1.714822549561174,0.23908602955805197,SEA,HNL,47.447943,-122.310276,21.318387,-157.92567
SEA-IAD,1955,0.20496894409937888,13.092650103519668,0.007161125319693095,21.911616161616163,2305.0,-0.38126326263154164,-0.7560544787223504,-0.866418584630185,-0.6492425938941921,-0.6632447299695673,SEA,IAD,47.447943,-122.310276,38.9445,-77.455803
SEA-IAH,2109,0.23387872954764197,14.078922040423484,0.009009009009009009,16.91358024691358,1874.0,0.12943073196279606,-0.5948803312695392,-0.7283756951002124,-1.1327149680250836,-0.5816350656080098,SEA,IAH,47.447943,-122.310276,29.9844,-95.3414
SEA-JFK,2925,0.292725988700565,18.374293785310734,0.02358974358974359,13.383594692400482,2422.0,1.1689729278575791,0.10705881256175537,0.3608523470279808,-1.4741792003383793,0.040676221777233956,SEA,JFK,47.447943,-122.310276,40.639447,-73.779317
SEA-JNU,1578,0.27225806451612905,13.91741935483871,0.014575411913814956,15.12085308056872,909.0,0.8074051818253564,-0.6212727051032518,-0.3125473906943716,-1.30612990022516,-0.35813620354935677,SEA,JNU,47.447943,-122.310276,58.354935,-134.574416
SEA-KOA,1442,0.29978738483345146,16.306874557051735,0.012482662968099861,13.929078014184396,2688.0,1.293713134074968,-0.23079378069791606,-0.46888250702101775,-1.421413249646453,-0.20684410082260477,SEA,KOA,47.447943,-122.310276,19.738783,-156.045603
SEA-KTN,1299,0.27472527472527475,16.091836734693878,0.0023094688221709007,12.288571428571428,680.0,0.8509886750154882,-0.265934735633164,-1.22885302019402,-1.5801035086320894,-0.5559756473609463,SEA,KTN,47.447943,-122.310276,55.35559845,-131.7140045
SEA-LAS,5799,0.2353248562968124,13.29071590315276,0.008794619762027936,17.998519615099926,867.0,0.1549766927775259,-0.7236870502262721,-0.7443912654028965,-1.027766099894284,-0.5852169306864816,SEA,LAS,47.447943,-122.310276,36.083361,-115.151817
SEA-LAX,7363,0.17432450966945548,11.270058976820739,0.009371180225451583,18.32336742722266,954.0,-0.922599989571592,-1.0538978624882283,-0.7013203336013367,-0.9963427676816842,-0.9185402383357103,SEA,LAX,47.447943,-122.310276,33.942501,-118.407997
SEA-LIH,1094,0.27695167286245354,16.86802973977695,0.009140767824497258,19.14765100671141,2700.0,0.8903182010082706,-0.13909117335374752,-0.7185328853410237,-0.9166077785912247,-0.2209784090694313,SEA,LIH,47.447943,-122.310276,21.974393,-159.337146
SEA-MCI,1123,0.25701357466063346,15.418099547511313,0.009795191451469279,15.419014084507042,1490.0,0.5381098792438685,-0.3760352187639084,-0.6696453233336194,-1.2772880489644955,-0.4462146779545387,SEA,MCI,47.447943,-122.310276,39.301699,-94.713893
SEA-MCO,1839,0.2111663902708679,11.540630182421227,0.0076128330614464385,9.151832460732985,2554.0,-0.2717848112170479,-1.0096817779012135,-0.8326745550382717,-1.883528026120771,-0.999417292569326,SEA,MCO,47.447943,-122.310276,28.429399490356445,-81.30899810791016
SEA-MFR,1144,0.10204081632653061,7.535936113575866,0.01048951048951049,3.9043478260869566,352.0,-2.1994980199424226,-1.6641190869275047,-0.6177774450569504,-2.391130191816425,-1.7181311859358255,SEA,MFR,47.447943,-122.310276,42.374199,-122.873001
SEA-MIA,1137,0.22033898305084745,12.09099018733274,0.009674582233948988,12.639676113360323,2724.0,-0.10975012382795891,-0.919743292109755,-0.678655222055445,-1.5461402841934617,-0.8135722305466553,SEA,MIA,47.447943,-122.310276,25.796011,-80.289751
SEA-MSP,2698,0.15543071161048688,9.273408239700375,0.008524833209785025,16.016867469879518,1399.0,-1.2563606541417653,-1.3801856420296892,-0.7645451936199518,-1.219456212510911,-1.1551369255755792,SEA,MSP,47.447943,-122.310276,44.880081,-93.221741
SEA-OAK,1980,0.26944585663446874,15.203355363497712,0.0065656565656565654,30.450943396226414,672.0,0.7577272733093985,-0.4111281880391936,-0.9109020269091985,0.17678764719567694,-0.09687882361082917,SEA,OAK,47.447943,-122.310276,37.720085,-122.221184
SEA-OGG,1809,0.21648906337633203,11.613572630398206,0.006080707573244887,11.870466321243523,2639.0,-0.17775930573504012,-0.9977617014741,-0.9471292854613531,-1.6205478496344092,-0.9357995355762256,SEA,OGG,47.447943,-122.310276,20.896263,-156.431837
SEA-ONT,2588,0.18100078186082877,10.32838154808444,0.011591962905718702,16.025917926565874,956.0,-0.8046630328787375,-1.207784484496951,-0.5354206831121439,-1.2185807394539347,-0.9416122349854418,SEA,ONT,47.447943,-122.310276,34.056,-117.600998
SEA-ORD,5490,0.2542215624420115,17.882538504360735,0.011657559198542805,22.385401459854016,1721.0,0.4887887289559851,0.02669736740967328,-0.5305204278329572,-0.6034121703284987,-0.15461162544894938,SEA,ORD,47.447943,-122.310276,41.9786,-87.9048
